PREFIXE,OPERATEUR COMPLET
0357,Inconnu
0358,SFR
0358,Inconnu
0358,Free
0359,SFR
0359,Free
0359,Inconnu
0359,Bouygues Telecom
0360,Inconnu
0360,Bouygues Telecom
0360,SFR
0360,Free
0361,SFR
0361,Free
0361,Inconnu
0362,Free
0362,SFR
0362,Inconnu
0363,Free
0363,SFR
0363,Inconnu
0363,Bouygues Telecom
0364,Free
0364,Inconnu
0364,SFR
0365,Bouygues Telecom
0365,Orange (France Télécom)
0365,Inconnu
0365,SFR
0366,Orange (France Télécom)
0366,SFR
0366,Inconnu
0366,Bouygues Telecom
0367,Orange (France Télécom)
0367,Inconnu
0367,SFR
0367,Hub One
0368,Bouygues Telecom
0368,Orange (France Télécom)
0368,SFR
0368,Free
0368,Inconnu
0369,Free
0369,Inconnu
0369,SFR
0369,RingCentral France
0369,Bouygues Telecom
0370,Bouygues Telecom
0370,SFR
0370,Orange (France Télécom)
0370,Free
0370,Inconnu
0371,SFR
0371,Inconnu
0371,Bouygues Telecom
0371,Orange (France Télécom)
0372,Orange (France Télécom)
0372,Inconnu
0372,SFR
0372,Bouygues Telecom
0373,Inconnu
0373,Orange (France Télécom)
0374,SFR
0374,Inconnu
0374,Orange (France Télécom)
0374,Hub One
0375,Inconnu
0375,Orange (France Télécom)
0375,SFR
0375,Pure IP Limited
0376,RingCentral France
0376,Zoom Voice Communications Inc.
0376,SFR
0376,Inconnu
0377,Inconnu
0377,Bouygues Telecom
0377,Free
0377,SFR
0377,Orange (France Télécom)
0379,Orange (France Télécom)
0379,Inconnu
0379,SFR
0380,Orange (France Télécom)
0381,Orange (France Télécom)
0382,Orange (France Télécom)
0383,Orange (France Télécom)
0384,Orange (France Télécom)
0385,Orange (France Télécom)
0386,Orange (France Télécom)
0387,Orange (France Télécom)
0388,Orange (France Télécom)
0389,Orange (France Télécom)
0390,Orange (France Télécom)
0391,Orange (France Télécom)
0392,SFR
0392,Inconnu
0392,Microsoft Ireland Operations Limited
0411,Inconnu
0411,Orange (France Télécom)
0411,Bouygues Telecom
0411,Twilio Ireland Limited
0411,SFR
0412,Microsoft Ireland Operations Limited
0412,Zoom Voice Communications Inc.
0412,Inconnu
0412,Twilio Ireland Limited
0412,SFR
0413,Bouygues Telecom
0413,Inconnu
0413,SFR
0413,Free
0413,Orange (France Télécom)
0415,Orange (France Télécom)
0415,SFR
0415,Inconnu
0420,SFR
0420,Inconnu
0420,Orange (France Télécom)
0420,Free
0420,Bouygues Telecom
0422,SFR
0422,Hub One
0422,Orange (France Télécom)
0422,Inconnu
0423,Inconnu
0423,SFR
0423,Microsoft Ireland Operations Limited
0424,Inconnu
0424,Bouygues Telecom
0424,Free
0424,SFR
0424,Orange (France Télécom)
0426,Hub One
0426,Bouygues Telecom
0426,Free
0426,Inconnu
0426,SFR
0427,Free
0427,SFR
0427,Inconnu
0427,Bouygues Telecom
0428,Inconnu
0428,Orange (France Télécom)
0428,SFR
0430,Free
0430,Inconnu
0430,SFR
0432,Orange (France Télécom)
0434,SFR
0434,Inconnu
0434,Free
0434,Bouygues Telecom
0437,Orange (France Télécom)
0438,Orange (France Télécom)
0442,Orange (France Télécom)
0443,Inconnu
0443,Bouygues Telecom
0443,Orange (France Télécom)
0443,SFR
0443,Free
0444,Inconnu
0448,Inconnu
0448,SFR
0448,Orange (France Télécom)
0449,Inconnu
0449,SFR
0449,Zoom Voice Communications Inc.
0450,Orange (France Télécom)
0451,Inconnu
0451,SFR
0451,Twilio Ireland Limited
0451,RingCentral France
0451,Pure IP Limited
0456,Hub One
0456,Inconnu
0456,Bouygues Telecom
0456,SFR
0456,Free
0457,Inconnu
0457,SFR
0457,Free
0458,Inconnu
0458,Orange (France Télécom)
0458,SFR
0463,Free
0463,Inconnu
0463,SFR
0463,Bouygues Telecom
0465,Inconnu
0465,SFR
0465,Orange (France Télécom)
0466,Orange (France Télécom)
0467,Orange (France Télécom)
0468,Orange (France Télécom)
0469,SFR
0469,Inconnu
0469,Free
0470,Orange (France Télécom)
0471,Orange (France Télécom)
0472,Orange (France Télécom)
0473,Orange (France Télécom)
0474,Orange (France Télécom)
0475,Orange (France Télécom)
0476,Orange (France Télécom)
0477,Orange (France Télécom)
0478,Orange (France Télécom)
0479,Orange (France Télécom)
0480,Orange (France Télécom)
0480,Bouygues Telecom
0480,SFR
0480,Inconnu
0481,SFR
0481,Inconnu
0481,Orange (France Télécom)
0481,Bouygues Telecom
0482,Inconnu
0482,Orange (France Télécom)
0482,SFR
0482,Hub One
0483,Bouygues Telecom
0483,Orange (France Télécom)
0483,Inconnu
0483,Free
0483,SFR
0484,Orange (France Télécom)
0484,SFR
0484,Inconnu
0484,Hub One
0485,Hub One
0485,SFR
0485,Inconnu
0486,SFR
0486,Inconnu
0486,Free
0487,Bouygues Telecom
0487,Inconnu
0487,Orange (France Télécom)
0487,SFR
0488,Bouygues Telecom
0488,Free
0488,SFR
0488,Inconnu
0489,SFR
0489,Inconnu
0489,Free
0489,Bouygues Telecom
0489,RingCentral France
0490,Orange (France Télécom)
0491,Orange (France Télécom)
0492,Orange (France Télécom)
0493,Orange (France Télécom)
0494,Orange (France Télécom)
0495,Orange (France Télécom)
0496,Orange (France Télécom)
0497,Orange (France Télécom)
0498,Orange (France Télécom)
0499,Orange (France Télécom)
0508,Inconnu
0508,Orange (France Télécom)
0516,Inconnu
0516,Twilio Ireland Limited
0516,Bouygues Telecom
0516,Free
0516,SFR
0517,Inconnu
0517,SFR
0517,Free
0517,Twilio Ireland Limited
0518,Orange (France Télécom)
0518,Inconnu
0518,Twilio Ireland Limited
0519,SFR
0519,Inconnu
0519,Orange (France Télécom)
0519,Bouygues Telecom
0523,Inconnu
0524,SFR
0524,Inconnu
0524,Free
0525,Zoom Voice Communications Inc.
0525,RingCentral France
0525,Microsoft Ireland Operations Limited
0525,Inconnu
0525,SFR
0531,Inconnu
0531,SFR
0531,Free
0532,Inconnu
0532,SFR
0532,Orange (France Télécom)
0533,Bouygues Telecom
0533,Orange (France Télécom)
0533,Inconnu
0533,SFR
0534,Orange (France Télécom)
0535,Inconnu
0535,Orange (France Télécom)
0535,SFR
0535,Hub One
0536,SFR
0536,Orange (France Télécom)
0536,Inconnu
0537,Pure IP Limited
0537,Inconnu
0537,Zoom Voice Communications Inc.
0540,SFR
0540,Inconnu
0540,Free
0540,Bouygues Telecom
0540,Hub One
0542,Orange (France Télécom)
0544,Orange (France Télécom)
0545,Orange (France Télécom)
0546,Orange (France Télécom)
0547,SFR
0547,Inconnu
0547,Free
0548,Inconnu
0548,SFR
0549,Orange (France Télécom)
0553,Orange (France Télécom)
0554,Orange (France Télécom)
0554,Inconnu
0554,SFR
0555,Orange (France Télécom)
0556,Orange (France Télécom)
0557,Orange (France Télécom)
0558,Orange (France Télécom)
0559,Orange (France Télécom)
0561,Orange (France Télécom)
0562,Orange (France Télécom)
0563,Orange (France Télécom)
0564,SFR
0564,Orange (France Télécom)
0564,Hub One
0564,Inconnu
0565,Orange (France Télécom)
0567,SFR
0567,Inconnu
0567,Free
0567,Bouygues Telecom
0568,Orange (France Télécom)
0568,Inconnu
0568,Bouygues Telecom
0568,Free
0568,SFR
0579,Orange (France Télécom)
0579,Inconnu
0579,Bouygues Telecom
0581,SFR
0581,Inconnu
0581,Free
0582,Inconnu
0582,Bouygues Telecom
0582,Orange (France Télécom)
0582,SFR
0586,Orange (France Télécom)
0586,Bouygues Telecom
0586,Inconnu
0586,SFR
0587,Bouygues Telecom
0587,Free
0587,SFR
0587,Inconnu
0590,Orange (France Télécom)
0590,SFR
0590,Inconnu
0594,SFR
0594,Orange (France Télécom)
0594,Inconnu
0596,Inconnu
0596,Orange (France Télécom)
0596,SFR
0601,SFR
0601,Inconnu
0601,Bouygues Telecom
0602,SFR
0602,Inconnu
0602,Hub One
0602,Budget Telecom
0602,Bouygues Telecom
0602,Afone
0602,Orange (France Télécom)
0603,SFR
0604,Afone
0604,Inconnu
0604,SFR
0605,Bouygues Telecom
0605,Inconnu
0606,Bouygues Telecom
0606,Inconnu
0606,Afone
0607,Orange (France Télécom)
0608,Orange (France Télécom)
0609,SFR
0610,SFR
0611,SFR
0612,SFR
0613,SFR
0614,SFR
0615,SFR
0616,SFR
0617,SFR
0618,SFR
0619,SFR
0620,SFR
0621,SFR
0622,SFR
0623,SFR
0624,SFR
0625,SFR
0626,SFR
0627,SFR
0628,SFR
0628,Inconnu
0628,Afone
0629,SFR
0629,Inconnu
0630,Orange (France Télécom)
0631,Orange (France Télécom)
0632,Orange (France Télécom)
0633,Orange (France Télécom)
0634,SFR
0634,Afone
0635,SFR
0635,Afone
0636,Bouygues Telecom
0636,Inconnu
0637,Orange (France Télécom)
0638,Inconnu
0638,Orange (France Télécom)
0639,Inconnu
0639,Orange (France Télécom)
0640,Inconnu
0640,Orange (France Télécom)
0641,Inconnu
0641,Bouygues Telecom
0642,Orange (France Télécom)
0643,Orange (France Télécom)
0644,Inconnu
0644,Orange (France Télécom)
0645,Orange (France Télécom)
0646,SFR
0647,Orange (France Télécom)
0648,Orange (France Télécom)
0649,Orange (France Télécom)
0649,Inconnu
0649,SFR
0650,Bouygues Telecom
0651,Free Mobile
0652,Free Mobile
0653,Free Mobile
0653,Bouygues Telecom
0654,Orange (France Télécom)
0655,SFR
0656,Inconnu
0657,Inconnu
0658,Bouygues Telecom
0659,Bouygues Telecom
0660,Bouygues Telecom
0661,Bouygues Telecom
0662,Bouygues Telecom
0663,Bouygues Telecom
0664,Bouygues Telecom
0665,Bouygues Telecom
0666,Bouygues Telecom
0667,Bouygues Telecom
0668,Bouygues Telecom
0669,Bouygues Telecom
0669,SFR
0670,Orange (France Télécom)
0671,Orange (France Télécom)
0672,Orange (France Télécom)
0673,Orange (France Télécom)
0674,Orange (France Télécom)
0675,Orange (France Télécom)
0676,Orange (France Télécom)
0677,Orange (France Télécom)
0678,Orange (France Télécom)
0679,Orange (France Télécom)
0680,Orange (France Télécom)
0681,Orange (France Télécom)
0682,Orange (France Télécom)
0683,Orange (France Télécom)
0684,Orange (France Télécom)
0685,Orange (France Télécom)
0686,Orange (France Télécom)
0687,Orange (France Télécom)
0688,Orange (France Télécom)
0689,Orange (France Télécom)
0690,Inconnu
0690,Orange (France Télécom)
0691,Orange (France Télécom)
0691,Inconnu
0692,Orange (France Télécom)
0692,Inconnu
0693,Orange (France Télécom)
0693,Inconnu
0694,Inconnu
0694,Orange (France Télécom)
0695,Free Mobile
0696,Inconnu
0696,Orange (France Télécom)
0697,Inconnu
0698,Bouygues Telecom
0699,Bouygues Telecom
0700,Inconnu
0700,Afone
0700,Bouygues Telecom
0700,SFR
0700,Orange (France Télécom)
0700,Hub One
0708,Inconnu
0709,Orange (France Télécom)
0709,Inconnu
0743,Inconnu
0743,Free Mobile
0743,Bouygues Telecom
0743,Hub One
0743,Budget Telecom
0744,Inconnu
0744,Free Mobile
0745,Free Mobile
0745,Inconnu
0745,Afone
0746,Inconnu
0746,SFR
0748,Inconnu
0748,Bouygues Telecom
0749,Free Mobile
0750,SFR
0750,Inconnu
0750,Bouygues Telecom
0750,Orange (France Télécom)
0751,SFR
0751,Inconnu
0752,Inconnu
0752,SFR
0753,Inconnu
0754,Inconnu
0754,Bouygues Telecom
0754,SFR
0754,Afone
0755,Bouygues Telecom
0755,Twilio Ireland Limited
0755,Inconnu
0756,Inconnu
0756,Bouygues Telecom
0756,Hub One
0757,Inconnu
0757,Bouygues Telecom
0757,Twilio Ireland Limited
0757,Hub One
0758,Inconnu
0759,Afone
0759,Inconnu
0759,Free Mobile
0760,Bouygues Telecom
0761,Bouygues Telecom
0762,Bouygues Telecom
0763,Bouygues Telecom
0764,Bouygues Telecom
0765,Bouygues Telecom
0766,Free Mobile
0767,Free Mobile
0768,Free Mobile
0769,Free Mobile
0770,Orange (France Télécom)
0770,SFR
0770,Bouygues Telecom
0771,Bouygues Telecom
0771,SFR
0771,Inconnu
0772,Orange (France Télécom)
0772,Inconnu
0773,Inconnu
0774,Inconnu
0775,SFR
0775,Inconnu
0775,Free Mobile
0776,SFR
0777,SFR
0777,Inconnu
0778,SFR
0779,SFR
0780,Inconnu
0780,Afone
0781,Free Mobile
0782,Free Mobile
0783,Free Mobile
0784,Orange (France Télécom)
0784,Inconnu
0784,Bouygues Telecom
0785,Orange (France Télécom)
0786,Orange (France Télécom)
0787,Orange (France Télécom)
0788,Orange (France Télécom)
0789,Orange (France Télécom)
0800,Orange (France Télécom)
0800,SFR
0800,Inconnu
0800,Free
0801,Zoom Voice Communications Inc.
0801,Orange (France Télécom)
0801,Twilio Ireland Limited
0801,SFR
0801,Microsoft Ireland Operations Limited
0801,Inconnu
0801,Bouygues Telecom
0801,Pure IP Limited
0803,Inconnu
0803,Orange (France Télécom)
0805,Orange (France Télécom)
0805,SFR
0805,Inconnu
0805,Afone
0805,Free
0806,Orange (France Télécom)
0806,Inconnu
0806,SFR
0808,Inconnu
0808,SFR
0808,Orange (France Télécom)
0809,Inconnu
0809,SFR
0809,Orange (France Télécom)
0810,Orange (France Télécom)
0811,Free
0811,Afone
0811,Inconnu
0811,SFR
0811,Orange (France Télécom)
0812,Inconnu
0812,SFR
0819,Orange (France Télécom)
0819,Inconnu
0820,Inconnu
0820,Afone
0820,Orange (France Télécom)
0820,SFR
0821,SFR
0821,Inconnu
0821,Orange (France Télécom)
0825,Orange (France Télécom)
0825,SFR
0825,Inconnu
0825,Free
0826,Orange (France Télécom)
0826,Inconnu
0826,SFR
0836,Orange (France Télécom)
0836,Inconnu
0850,Inconnu
0850,SFR
0852,Inconnu
0854,SFR
0855,SFR
0856,Bouygues Telecom
0858,SFR
0860,Orange (France Télécom)
0860,Inconnu
0860,SFR
0868,Inconnu
0868,SFR
0890,Inconnu
0890,SFR
0890,Orange (France Télécom)
0891,Inconnu
0891,Orange (France Télécom)
0891,SFR
0892,Inconnu
0892,SFR
0892,Free
0892,Orange (France Télécom)
0893,Inconnu
0895,SFR
0895,Inconnu
0895,Orange (France Télécom)
0897,SFR
0897,Orange (France Télécom)
0897,Inconnu
0898,Inconnu
0899,Orange (France Télécom)
0899,Inconnu
0899,SFR
0899,Free
0901,Inconnu
0939,Bouygues Telecom
0939,Inconnu
